date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:07:45	24/24	---M--	200	added ('OK')	text/plain	date:Tue,%2024%20Dec%202019%2000:07:44%20GMT	http://localhost:8000/robots.txt		(from )
02:07:56	182450/-1	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:07:45%20GMT	http://localhost:8000/	localhost_8000/index.html	(from )
02:07:56	147572/147572	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202019%2000:07:56%20GMT	http://localhost:8000/assets/css/bootstrap.css	localhost_8000/assets/css/bootstrap.css	(from http://localhost:8000/)
02:07:58	57094/57094	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202019%2000:07:57%20GMT	http://localhost:8000/assets/css/animate.css	localhost_8000/assets/css/animate.css	(from http://localhost:8000/)
02:08:00	11058/11058	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202019%2000:07:58%20GMT	http://localhost:8000/assets/css/simple-line-icons.css	localhost_8000/assets/css/simple-line-icons.css	(from http://localhost:8000/)
02:08:00	26677/26677	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202019%2000:08:00%20GMT	http://localhost:8000/assets/css/font-awesome.css	localhost_8000/assets/css/font-awesome.css	(from http://localhost:8000/)
02:08:02	7115/7115	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202019%2000:08:01%20GMT	http://localhost:8000/assets/css/banner_slider.css	localhost_8000/assets/css/banner_slider.css	(from http://localhost:8000/)
02:08:02	70195/70195	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202019%2000:08:02%20GMT	http://localhost:8000/assets/css/style.css	localhost_8000/assets/css/style.css	(from http://localhost:8000/)
02:08:04	3792/3792	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202019%2000:08:03%20GMT	http://localhost:8000/assets/css/push_menu.css	localhost_8000/assets/css/push_menu.css	(from http://localhost:8000/)
02:08:04	3654/3654	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202019%2000:08:04%20GMT	http://localhost:8000/assets/css/owl.carousel.css	localhost_8000/assets/css/owl.carousel.css	(from http://localhost:8000/)
02:08:05	1692/1692	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202019%2000:08:05%20GMT	http://localhost:8000/assets/css/owl.theme.css	localhost_8000/assets/css/owl.theme.css	(from http://localhost:8000/)
02:08:06	4476/4476	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202019%2000:08:06%20GMT	http://localhost:8000/assets/css/owl.transitions.css	localhost_8000/assets/css/owl.transitions.css	(from http://localhost:8000/)
02:08:07	4510/4510	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202019%2000:08:07%20GMT	http://localhost:8000/assets/css/portfolio.css	localhost_8000/assets/css/portfolio.css	(from http://localhost:8000/)
02:08:08	1183/1183	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Dec%202019%2000:08:08%20GMT	http://localhost:8000/assets/css/color/color.css	localhost_8000/assets/css/color/color.css	(from http://localhost:8000/)
02:08:09	2984/2984	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:08:09%20GMT	http://localhost:8000/assets/images/favicon.ico.png	localhost_8000/assets/images/favicon.ico.png	(from http://localhost:8000/)
02:08:10	3227/3227	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:08:10%20GMT	http://localhost:8000/assets/images/apple_touch_icon.png/wp-admin/setup-config.html	localhost_8000/assets/images/apple_touch_icon.png/wp-admin/setup-config.html	(from http://localhost:8000/)
02:08:11	3233/3233	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:08:11%20GMT	http://localhost:8000/assets/images/apple_touch_icon_72x72.png/wp-admin/setup-config.html	localhost_8000/assets/images/apple_touch_icon_72x72.png/wp-admin/setup-config.html	(from http://localhost:8000/)
02:08:12	3235/3235	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:08:12%20GMT	http://localhost:8000/assets/images/apple_touch_icon_114x114.png/wp-admin/setup-config.html	localhost_8000/assets/images/apple_touch_icon_114x114.png/wp-admin/setup-config.html	(from http://localhost:8000/)
02:08:16	9474/9474	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:08:14%20GMT	http://localhost:8000/assets/js/modernizr.custom.js	localhost_8000/assets/js/modernizr.custom.js	(from http://localhost:8000/)
02:08:24	95956/95956	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:08:13%20GMT	http://localhost:8000/assets/js/jquery-1.11.3.min.js	localhost_8000/assets/js/jquery-1.11.3.min.js	(from http://localhost:8000/)
02:09:13	269095/269095	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:08:24%20GMT	http://localhost:8000/storage/projects/December2019/zemh9TX3Tj9eiBboZFlx.png	localhost_8000/storage/projects/December2019/zemh9TX3Tj9eiBboZFlx.png	(from http://localhost:8000/)
02:09:33	446936/446936	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:08:15%20GMT	http://localhost:8000/storage/featured-projects/November2019/NIe9TYN1ktqBlaGUGAPI.png	localhost_8000/storage/featured-projects/November2019/NIe9TYN1ktqBlaGUGAPI.png	(from http://localhost:8000/)
02:10:22	259891/259891	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:09:33%20GMT	http://localhost:8000/storage/projects/December2019/NqzqJKw0Tl7Hsd4WjyRw.png	localhost_8000/storage/projects/December2019/NqzqJKw0Tl7Hsd4WjyRw.png	(from http://localhost:8000/)
02:10:59	611718/611718	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:09:13%20GMT	http://localhost:8000/storage/projects/December2019/glfIGGWNPSpvSWZaRM3H.png	localhost_8000/storage/projects/December2019/glfIGGWNPSpvSWZaRM3H.png	(from http://localhost:8000/)
02:13:48	1915932/1915932	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:08:16%20GMT	http://localhost:8000/storage/featured-projects/November2019/pfuXPfNwApBqR89WNvAi.png	localhost_8000/storage/featured-projects/November2019/pfuXPfNwApBqR89WNvAi.png	(from http://localhost:8000/)
02:14:00	1982293/1982293	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:08:17%20GMT	http://localhost:8000/storage/featured-projects/November2019/FggUEeWkz2k6UP3xThev.png	localhost_8000/storage/featured-projects/November2019/FggUEeWkz2k6UP3xThev.png	(from http://localhost:8000/)
02:14:41	1282365/1282365	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:10:59%20GMT	http://localhost:8000/storage/projects/December2019/HqmzdrUZdQIt1tgiXEQW.png	localhost_8000/storage/projects/December2019/HqmzdrUZdQIt1tgiXEQW.png	(from http://localhost:8000/)
02:17:28	958739/958739	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:14:41%20GMT	http://localhost:8000/storage/projects/December2019/9EnYmgJinXG0uS1jtzsV.png	localhost_8000/storage/projects/December2019/9EnYmgJinXG0uS1jtzsV.png	(from http://localhost:8000/)
02:17:40	2554703/2554703	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:10:22%20GMT	http://localhost:8000/storage/projects/December2019/l7Oh8YBCOYYcZ17i0cuD.png	localhost_8000/storage/projects/December2019/l7Oh8YBCOYYcZ17i0cuD.png	(from http://localhost:8000/)
02:18:33	1671212/1671212	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:13:48%20GMT	http://localhost:8000/storage/projects/December2019/wdGkgvcRlFLfZW4WvMx8.png	localhost_8000/storage/projects/December2019/wdGkgvcRlFLfZW4WvMx8.png	(from http://localhost:8000/)
02:18:59	446936/446936	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:17:40%20GMT	http://localhost:8000/storage/projects/December2019/RyEQKYssNAGxyHRfsXaI.png	localhost_8000/storage/projects/December2019/RyEQKYssNAGxyHRfsXaI.png	(from http://localhost:8000/)
02:20:21	449100/449100	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:18:59%20GMT	http://localhost:8000/storage/projects/December2019/D6tFtgxrHylSrmgkxyN4.png	localhost_8000/storage/projects/December2019/D6tFtgxrHylSrmgkxyN4.png	(from http://localhost:8000/)
02:21:04	2459742/2459742	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:14:00%20GMT	http://localhost:8000/storage/projects/December2019/peRsdn0FqMJJKlbomjui.png	localhost_8000/storage/projects/December2019/peRsdn0FqMJJKlbomjui.png	(from http://localhost:8000/)
02:21:06	872277/872277	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:18:33%20GMT	http://localhost:8000/storage/projects/December2019/O6veM3EgdjRwdQcOGmxs.png	localhost_8000/storage/projects/December2019/O6veM3EgdjRwdQcOGmxs.png	(from http://localhost:8000/)
02:21:08	1552/-1	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202019%2000:21:06%20GMT	http://localhost:8000/www.shahad-al-bilad.com/socialapp	localhost_8000/www.shahad-al-bilad.com/socialapp.23.delayed	(from http://localhost:8000/)
02:21:39	1467631/1467631	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:17:28%20GMT	http://localhost:8000/storage/projects/December2019/VYm5XTfedlDE7tqyBdjp.png	localhost_8000/storage/projects/December2019/VYm5XTfedlDE7tqyBdjp.png	(from http://localhost:8000/)
02:23:02	686905/686905	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:21:08%20GMT	http://localhost:8000/storage/projects/December2019/myT0T0gP6l23vX94sLNd.png	localhost_8000/storage/projects/December2019/myT0T0gP6l23vX94sLNd.png	(from http://localhost:8000/)
02:23:06	992716/992716	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:20:21%20GMT	http://localhost:8000/storage/projects/December2019/A0w5MGyVplukQp26ayLd.png	localhost_8000/storage/projects/December2019/A0w5MGyVplukQp26ayLd.png	(from http://localhost:8000/)
02:24:13	384874/384874	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:23:06%20GMT	http://localhost:8000/storage/projects/December2019/l0vGErygN7MQaCEuTwuZ.png	localhost_8000/storage/projects/December2019/l0vGErygN7MQaCEuTwuZ.png	(from http://localhost:8000/)
02:24:52	229887/229887	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:24:13%20GMT	http://localhost:8000/storage/projects/December2019/XoHV3DOUXv5ki1GmqngG.png	localhost_8000/storage/projects/December2019/XoHV3DOUXv5ki1GmqngG.png	(from http://localhost:8000/)
02:25:12	1273232/1273232	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:21:39%20GMT	http://localhost:8000/storage/projects/December2019/KdgHRXVSfSBDESRJFTvS.png	localhost_8000/storage/projects/December2019/KdgHRXVSfSBDESRJFTvS.png	(from http://localhost:8000/)
02:26:31	1904884/1904884	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:21:04%20GMT	http://localhost:8000/storage/projects/December2019/U3shL0Rm1LcbnIP9PBXu.png	localhost_8000/storage/projects/December2019/U3shL0Rm1LcbnIP9PBXu.png	(from http://localhost:8000/)
02:27:14	232494/232494	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:26:31%20GMT	http://localhost:8000/storage/projects/December2019/gBFgK9h1OxCIsuKGw746.png	localhost_8000/storage/projects/December2019/gBFgK9h1OxCIsuKGw746.png	(from http://localhost:8000/)
02:27:45	1616324/1616324	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:23:02%20GMT	http://localhost:8000/storage/projects/December2019/2oNFUBRraUFu14ICtS1k.png	localhost_8000/storage/projects/December2019/2oNFUBRraUFu14ICtS1k.png	(from http://localhost:8000/)
02:29:30	1594430/1594430	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:24:52%20GMT	http://localhost:8000/storage/projects/December2019/jBD9ObAqF805WkOqXQJl.png	localhost_8000/storage/projects/December2019/jBD9ObAqF805WkOqXQJl.png	(from http://localhost:8000/)
02:29:33	641739/641739	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:27:45%20GMT	http://localhost:8000/storage/projects/December2019/TsgCn73a2TrjB9npMorM.png	localhost_8000/storage/projects/December2019/TsgCn73a2TrjB9npMorM.png	(from http://localhost:8000/)
02:29:35	854562/854562	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:27:14%20GMT	http://localhost:8000/storage/projects/December2019/fBI2cGbLd7GY4Eks1fTA.png	localhost_8000/storage/projects/December2019/fBI2cGbLd7GY4Eks1fTA.png	(from http://localhost:8000/)
02:30:57	482244/482244	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:29:30%20GMT	http://localhost:8000/storage/projects/December2019/XUhAvwzPqBGBRoI9mrfb.png	localhost_8000/storage/projects/December2019/XUhAvwzPqBGBRoI9mrfb.png	(from http://localhost:8000/)
02:31:02	475063/475063	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:29:35%20GMT	http://localhost:8000/storage/projects/December2019/9G6MwYDqVp1Mjm0tFOPj.png	localhost_8000/storage/projects/December2019/9G6MwYDqVp1Mjm0tFOPj.png	(from http://localhost:8000/)
02:32:34	2554703/2554703	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:25:12%20GMT	http://localhost:8000/storage/projects/December2019/nhHYpsbW6YRda8n5nDGk.png	localhost_8000/storage/projects/December2019/nhHYpsbW6YRda8n5nDGk.png	(from http://localhost:8000/)
02:33:14	1282365/1282365	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:29:33%20GMT	http://localhost:8000/storage/projects/December2019/QwznGCuOBzpFw1dmjRHy.png	localhost_8000/storage/projects/December2019/QwznGCuOBzpFw1dmjRHy.png	(from http://localhost:8000/)
02:33:41	965466/965466	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:30:57%20GMT	http://localhost:8000/storage/projects/December2019/IOu9HUmW5Oa2jlHj25sX.png	localhost_8000/storage/projects/December2019/IOu9HUmW5Oa2jlHj25sX.png	(from http://localhost:8000/)
02:34:47	545729/545729	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:33:14%20GMT	http://localhost:8000/storage/projects/December2019/WTO94RPT0qDBh5bKNnlD.png	localhost_8000/storage/projects/December2019/WTO94RPT0qDBh5bKNnlD.png	(from http://localhost:8000/)
02:35:21	973751/973751	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:32:34%20GMT	http://localhost:8000/storage/projects/December2019/quDdGA3zrguhDahmMqJh.png	localhost_8000/storage/projects/December2019/quDdGA3zrguhDahmMqJh.png	(from http://localhost:8000/)
02:35:41	306751/306751	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:34:47%20GMT	http://localhost:8000/storage/projects/December2019/wqbs3u8LJ0Z5QynRUtBe.png	localhost_8000/storage/projects/December2019/wqbs3u8LJ0Z5QynRUtBe.png	(from http://localhost:8000/)
02:35:44	1671212/1671212	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:31:02%20GMT	http://localhost:8000/storage/projects/December2019/yXPIZzBdEuo8wCdDusYI.png	localhost_8000/storage/projects/December2019/yXPIZzBdEuo8wCdDusYI.png	(from http://localhost:8000/)
02:36:07	119446/119446	---M--	200	added ('OK')	image/jpeg	date:Tue,%2024%20Dec%202019%2000:35:44%20GMT	http://localhost:8000/storage/settings/December2019/2RxnSmNraAPd2lPTXOdH.jpg	localhost_8000/storage/settings/December2019/2RxnSmNraAPd2lPTXOdH.jpg	(from http://localhost:8000/)
02:39:06	557293/-1	---M--	500	error ('Internal%20Server%20Error')	text/html	date:Tue,%2024%20Dec%202019%2000:36:07%20GMT	http://localhost:8000/download-resume	localhost_8000/download-resume.3a.delayed	(from http://localhost:8000/)
02:39:08	540/540	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2024%20Dec%202019%2000:39:06%20GMT	http://localhost:8000/storage	localhost_8000/storage.3b.delayed	(from http://localhost:8000/)
02:39:16	36847/36847	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:08%20GMT	http://localhost:8000/assets/js/bootstrap.min.js	localhost_8000/assets/js/bootstrap.min.js	(from http://localhost:8000/)
02:39:19	3291/3291	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:16%20GMT	http://localhost:8000/assets/js/jpreloader.min.js	localhost_8000/assets/js/jpreloader.min.js	(from http://localhost:8000/)
02:39:21	6061/6061	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:19%20GMT	http://localhost:8000/assets/js/appear.js	localhost_8000/assets/js/appear.js	(from http://localhost:8000/)
02:39:23	2104/2104	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:21%20GMT	http://localhost:8000/assets/js/toucheffects.js	localhost_8000/assets/js/toucheffects.js	(from http://localhost:8000/)
02:39:26	13798/13798	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:23%20GMT	http://localhost:8000/assets/js/sscr.js	localhost_8000/assets/js/sscr.js	(from http://localhost:8000/)
02:39:29	958739/958739	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Dec%202019%2000:35:21%20GMT	http://localhost:8000/storage/projects/December2019/fzoVinogaokHXTBtw9QD.png	localhost_8000/storage/projects/December2019/fzoVinogaokHXTBtw9QD.png	(from http://localhost:8000/)
02:39:31	5005/5005	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:29%20GMT	http://localhost:8000/assets/js/jquery.easing-1.3.min.js	localhost_8000/assets/js/jquery.easing-1.3.min.js	(from http://localhost:8000/)
02:39:31	21068/21068	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:26%20GMT	http://localhost:8000/assets/js/jquery.validate.min.js	localhost_8000/assets/js/jquery.validate.min.js	(from http://localhost:8000/)
02:39:32	2501/2501	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:31%20GMT	http://localhost:8000/assets/js/jquery.countTo.js	localhost_8000/assets/js/jquery.countTo.js	(from http://localhost:8000/)
02:39:36	3020/3020	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:32%20GMT	http://localhost:8000/assets/js/retina-1.1.0.min.js	localhost_8000/assets/js/retina-1.1.0.min.js	(from http://localhost:8000/)
02:39:36	2483/2483	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:34%20GMT	http://localhost:8000/assets/js/jPushMenu.js	localhost_8000/assets/js/jPushMenu.js	(from http://localhost:8000/)
02:39:41	11264/11264	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:36%20GMT	http://localhost:8000/assets/js/jquery.vegas.js	localhost_8000/assets/js/jquery.vegas.js	(from http://localhost:8000/)
02:39:43	3915/3915	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:41%20GMT	http://localhost:8000/assets/js/jquery.easypiechart.min.js	localhost_8000/assets/js/jquery.easypiechart.min.js	(from http://localhost:8000/)
02:39:44	23890/23890	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:38%20GMT	http://localhost:8000/assets/js/owl.carousel.min.js	localhost_8000/assets/js/owl.carousel.min.js	(from http://localhost:8000/)
02:39:47	7154/7154	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:44%20GMT	http://localhost:8000/assets/js/wow.min.js	localhost_8000/assets/js/wow.min.js	(from http://localhost:8000/)
02:39:47	16321/16321	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:43%20GMT	http://localhost:8000/assets/js/jquery.mixitup.min.js	localhost_8000/assets/js/jquery.mixitup.min.js	(from http://localhost:8000/)
02:39:50	9930/9930	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20Dec%202019%2000:39:47%20GMT	http://localhost:8000/assets/js/custom.js	localhost_8000/assets/js/custom.js	(from http://localhost:8000/)
02:39:50	3238/3238	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:39:48%20GMT	http://localhost:8000/assets/fonts/glyphicons-halflings-regular.eot/wp-admin/setup-config.html	localhost_8000/assets/fonts/glyphicons-halflings-regular.eot/wp-admin/setup-config.html	(from http://localhost:8000/assets/css/bootstrap.css)
02:39:52	3239/3239	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:39:50%20GMT	http://localhost:8000/assets/fonts/glyphicons-halflings-regular3488.html?	localhost_8000/assets/fonts/glyphicons-halflings-regular3488d41d.html	(from http://localhost:8000/assets/css/bootstrap.css)
02:39:54	3240/3240	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:39:52%20GMT	http://localhost:8000/assets/fonts/glyphicons-halflings-regular.woff2/wp-admin/setup-config.html	localhost_8000/assets/fonts/glyphicons-halflings-regular.woff2/wp-admin/setup-config.html	(from http://localhost:8000/assets/css/bootstrap.css)
02:39:56	3239/3239	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:39:54%20GMT	http://localhost:8000/assets/fonts/glyphicons-halflings-regular.woff/wp-admin/setup-config.html	localhost_8000/assets/fonts/glyphicons-halflings-regular.woff/wp-admin/setup-config.html	(from http://localhost:8000/assets/css/bootstrap.css)
02:39:58	3238/3238	---M--	200	added ('OK')	text/html	date:Tue,%2024%20Dec%202019%2000:39:56%20GMT	http://localhost:8000/assets/fonts/glyphicons-halflings-regular.ttf/wp-admin/setup-config.html	localhost_8000/assets/fonts/glyphicons-halflings-regular.ttf/wp-admin/setup-config.html	(from http://localhost:8000/assets/css/bootstrap.css)
